#,Category,Answerability,Reason,5 Example Question Intents,Question Category Label,Revised Answerability (Data-backed)
117,Gender-based roles,Answer with Constraints,Contextual,"gender duties, role expectations, social norms, contextual framing",gender_roles,Answer with Constraints
118,Social hierarchy relations,Answer,Canonical society,"class relations, social order, hierarchy interaction, status roles",social_hierarchy,Answer
119,Inter-kingdom relations,Answer,Canonical geopolitics,"diplomacy, war relations, treaties, rivalry, alliances",interkingdom_relation,Answer
120,Conflict escalation dynamics,Answer,Canonical causality,"conflict growth, escalation pattern, tension buildup, war progression",conflict_escalation,Answer
121,Definition of dharma,Answer,Core textual concept,"meaning of dharma, dharma definition, what is dharma, dharma explained, dharma concept",dharma_definition,Answer
122,Personal dharma,Answer,Textual framework,"individual duty, personal obligation, role-based duty, self-duty, personal righteousness",personal_dharma,Answer
123,Familial dharma,Answer,Canonical roles,"family duty, son duty, brother duty, spouse duty, household dharma",familial_dharma,Answer
124,Royal dharma,Answer,Canonical governance,"king duty, ruler responsibility, royal obligation, governance dharma, rajadharma",royal_dharma,Answer
125,Social dharma,Answer,Textual society,"societal duty, social order, community obligation, collective dharma",social_dharma,Answer
126,Moral obligation,Answer,Ethical framing,"moral responsibility, obligation basis, duty binding, ethical requirement",moral_obligation,Answer
127,Duty vs desire,Answer,Core conflict,"duty conflict, desire tension, dharma vs wish, moral struggle",duty_vs_desire,Answer
128,Duty vs emotion,Answer,Textual restraint,"emotion control, feeling vs duty, emotional sacrifice, restraint choice",duty_vs_emotion,Answer
129,Duty vs justice,Answer,Ethical complexity,"fairness conflict, justice tension, rule vs compassion, lawful duty",duty_vs_justice,Answer
130,Law vs compassion,Answer,Ethical balance,"mercy vs law, compassion limit, justice mercy balance, ethical tradeoff",law_vs_compassion,Answer
131,Vows and promises,Answer,Canonical binding,"vow keeping, promise obligation, oath significance, word given",vows_promises,Answer
132,Honor codes,Answer,Canonical ethics,"honor principle, reputation value, dignity code, respect norms",honor_code,Answer
133,Justice principles,Answer,Textual justice,"justice meaning, fairness rule, punishment logic, moral order",justice_principles,Answer
134,Moral dilemmas,Answer,Canonical tension,"ethical dilemma, conflicting duties, moral choice, dilemma resolution",moral_dilemma,Answer
135,Ethical trade-offs,Answer,Textual realism,"compromise ethics, tradeoff decision, loss vs gain, moral cost",ethical_tradeoff,Answer
136,Consequences of adharma,Answer,Canonical causality,"effects of wrongdoing, adharma results, moral consequences, downfall",adharma_consequence,Answer
137,Moral ambiguity,Answer with Constraints,Interpretive,"unclear morality, grey ethics, ambiguous duty, mixed outcomes",moral_ambiguity,Answer with Constraints
138,Ethical hierarchy,Answer,Canonical prioritization,"higher duty, priority of obligations, dharma ranking, moral order",ethical_hierarchy,Answer
139,Moral authority,Answer,Canonical source,"who decides dharma, authority source, moral legitimacy, ethical leadership",moral_authority,Answer
140,Dharma in conflict situations,Answer,Textual application,"war dharma, conflict ethics, battle conduct, crisis duty",conflict_dharma,Answer
141,Detachment (vairagya),Answer,Philosophical core,"detachment meaning, vairagya concept, non-attachment, renunciation",detachment,Answer
142,Attachment,Answer,Philosophical contrast,"attachment role, emotional binding, clinging, dependence",attachment,Answer
143,Desire,Answer,Philosophical driver,"desire influence, craving, longing effect, kama concept",desire,Answer
144,Ego,Answer,Philosophical flaw,"ego role, pride, self-importance, ahamkara",ego,Answer
145,Self-control,Answer,Canonical virtue,"restraint practice, discipline, control of senses, moderation",self_control,Answer
146,Free will,Answer,Textual tension,"choice agency, decision freedom, willpower, autonomy",free_will,Answer
147,Fate / destiny,Answer,Canonical worldview,"destiny role, fate influence, divine plan, inevitability",destiny,Answer
148,Action (karma),Answer,Philosophical law,"action principle, karma concept, deed consequence, moral causality",karma,Answer
149,Consequence,Answer,Textual result,"result of actions, outcome chain, cause effect, repercussions",consequence,Answer
150,Suffering,Answer,Canonical experience,"pain role, hardship meaning, suffering depiction, endurance",suffering,Answer
151,Endurance,Answer,Canonical virtue,"patience, tolerance, resilience, perseverance",endurance,Answer
152,Compassion,Answer,Canonical virtue,"mercy, empathy, kindness, benevolence",compassion,Answer
153,Forgiveness,Answer,Canonical virtue,"pardon act, mercy decision, reconciliation, forgiveness value",forgiveness,Answer
154,Renunciation within life,Answer,Philosophical balance,"inner renunciation, detachment in action, duty with restraint",inner_renunciation,Answer
155,Power and restraint,Answer,Ethical ideal,"authority control, restraint of power, moderation, balance",power_restraint,Answer
156,Inner conflict,Answer with Constraints,Interpretive,"mental struggle, moral tension, hesitation, doubt",inner_conflict_philo,Answer with Constraints
157,Balance,Answer,Philosophical ideal,"harmony principle, equilibrium, moderation, middle path",balance,Answer
158,Ideal conduct,Answer,Canonical model,"ideal behavior, righteous living, exemplary conduct",ideal_conduct,Answer
159,Moral order,Answer,Canonical worldview,"cosmic order, moral structure, righteousness system",moral_order,Answer
160,Meaning of righteousness,Answer,Textual definition,"righteousness meaning, right conduct, dharma essence",righteousness,Answer
161,Explicit textual statements,Answer,Textual clarity,"stated facts, explicit lines, clear assertions, direct claims",explicit_text,Answer
162,Implied meanings,Answer with Constraints,Interpretive,"implied ideas, inferred meaning, unstated intent, suggestion",implied_meaning,Answer with Constraints
163,Narrative silence,Answer with Constraints,Honest gap,"silence explanation, absence meaning, no mention cases",narrative_silence,Answer
164,Unstated motivations,Answer with Constraints,Interpretive,"hidden motives, inferred intent, assumed reason",unstated_motivation,Answer with Constraints
165,Interpretive disagreements,Answer,Scholarly variation,"differing views, interpretation conflict, commentary divergence",interpretive_disagreement,Answer with Constraints
166,Commentarial interpretations,Answer,Traditional lens,"commentator views, classical explanations, interpretive tradition",commentary,Answer with Constraints
167,Symbolic readings,Answer with Constraints,Interpretive,"symbolism analysis, allegorical meaning, metaphor reading",symbolic_reading,Answer with Constraints
168,Literal vs symbolic tension,Answer with Constraints,Interpretive,"literal reading, symbolic tension, meaning layers",literal_symbolic,Answer with Constraints
169,Multiple valid readings,Answer,Hermeneutic,"plural interpretations, multiple views, coexisting meanings",multiple_readings,Answer
170,Textual ambiguity,Answer with Constraints,Honest uncertainty,"ambiguous text, unclear meaning, uncertainty acknowledgment",textual_ambiguity,Answer with Constraints
171,Ethical ambiguity,Answer with Constraints,Interpretive,"unclear ethics, mixed moral outcome, grey area",ethical_ambiguity,Answer with Constraints
172,Character ambiguity,Answer with Constraints,Interpretive,"complex character, mixed traits, unclear motivation",character_ambiguity,Answer with Constraints
173,Narrative gaps,Answer with Constraints,Textual limits,"missing information, gap explanation, incomplete narration",narrative_gap,Answer
174,Conflicting passages,Answer with Constraints,Textual criticism,"conflicting lines, internal contradiction, reconciliation attempts",conflicting_passage,Answer with Constraints
175,Resolution of ambiguity,Answer,Interpretive synthesis,"resolving ambiguity, reconciliation logic, balanced view",ambiguity_resolution,Answer with Constraints
176,Limits of interpretation,Answer,Guardrail,"interpretation boundary, overreach prevention, limit explanation",interpretation_limits,Answer with Constraints
177,Authority of commentators,Answer,Tradition,"commentator legitimacy, authority basis, classical weight",commentator_authority,Answer
178,Reader perspective differences,Answer,Hermeneutics,"reader lens, perspective variance, interpretive angle",reader_perspective,Answer
179,Context-dependent meanings,Answer,Hermeneutics,"context-based meaning, situational interpretation",context_meaning,Answer
180,Interpretive restraint,Answer,Trust principle,"restraint practice, careful interpretation, avoidance of speculation",interpretive_restraint,Answer with Constraints
181,Valmiki Ramayana focus,Answer,Primary canonical source,"valmiki focus, original ramayana, primary text, canonical source, base version",valmiki_focus,Answer
182,Canonical boundaries,Answer,Scope control,"canonical limits, text boundary, included scope, excluded parts, authority boundary",canonical_scope,Answer
183,Textual consistency,Answer,Canonical analysis,"consistency check, internal logic, coherent narrative, aligned events",textual_consistency,Answer
184,Kanda-level differences,Answer,Textual structure,"kanda variation, emphasis differences, structural contrast, kanda comparison",kanda_difference,Answer
185,Later interpolations,Answer with Constraints,Scholarly debate,"interpolations, later additions, disputed verses, later inserts",later_interpolation,Answer with Constraints
186,Retelling variations,Answer with Constraints,Tradition diversity,"retelling variation, narrative changes, popular versions, story variants",retelling_variation,Answer
187,Regional narrative emphasis,Answer with Constraints,Cultural context,"regional focus, local emphasis, cultural retelling, regional style",regional_emphasis,Answer with Constraints
188,Poetic liberties,Answer with Constraints,Literary license,"poetic addition, embellishment, creative liberty, stylistic expansion",poetic_liberty,Answer with Constraints
189,Story expansion over time,Answer,Transmission history,"expansion history, narrative growth, additions timeline, evolution",story_expansion,Answer
190,Oral tradition influence,Answer,Transmission method,"oral transmission, storytelling evolution, memory tradition, oral effects",oral_tradition,Answer
191,Transmission history,Answer,Textual history,"manuscript tradition, preservation, transmission path, copying",transmission_history,Answer
192,Editorial decisions,Answer,Scholarly process,"editing choices, compilation logic, version editing, redaction",editorial_decision,Answer
193,Narrative omissions in versions,Answer with Constraints,Textual variance,"omitted episodes, missing parts, abridgment, exclusions",narrative_omission_versions,Answer with Constraints
194,Emphasis shifts across versions,Answer,Comparative lens,"emphasis shift, theme focus change, narrative weight change",emphasis_shift,Answer with Constraints
195,Language evolution,Answer,Linguistic history,"language change, evolution, semantic shift, historical language",language_evolution,Answer
196,Stylistic differences,Answer,Literary analysis,"style contrast, tone difference, poetic style, narrative voice",stylistic_difference,Answer
197,Authority of versions,Answer with Constraints,Scholarly debate,"version authority, canonical status, textual legitimacy",version_authority,Answer with Constraints
198,Canon vs popular belief,Answer,Clarification,"popular myth vs text, belief correction, folklore distinction",canon_vs_popular,Answer
199,Textual authenticity debates,Answer with Constraints,Academic debate,"authenticity question, disputed sections, scholarly disagreement",textual_authenticity,Answer
200,Limits of textual certainty,Answer,Honest limitation,"uncertainty boundary, unknown aspects, textual limits",textual_limits,Answer
201,Key Sanskrit terms,Answer,Linguistic grounding,"term meaning, key word definition, usage context, semantic role",sanskrit_terms,Answer
202,Contextual term meanings,Answer,Usage-based,"contextual meaning, situational usage, semantic nuance",contextual_term,Answer
203,Polysemous words,Answer,Linguistic nuance,"multiple meanings, word ambiguity, semantic variation",polysemy,Answer
204,Metaphorical language,Answer,Literary device,"metaphor use, figurative language, symbolic phrasing",metaphor_language,Answer
205,Symbolic actions,Answer with Constraints,Interpretive,"symbolic acts, action symbolism, metaphorical deed",symbolic_action,Answer with Constraints
206,Symbolic characters,Answer with Constraints,Interpretive,"character symbolism, archetypal role, representational figure",symbolic_character,Answer with Constraints
207,Symbolic locations,Answer with Constraints,Interpretive,"place symbolism, location meaning, spatial metaphor",symbolic_location,Answer with Constraints
208,Ritual symbolism,Answer with Constraints,Interpretive,"ritual meaning, symbolic ritual, metaphorical rite",ritual_symbolism,Answer with Constraints
209,Weapon symbolism,Answer with Constraints,Interpretive,"weapon meaning, symbolic arms, power metaphor",weapon_symbolism,Answer with Constraints
210,Animal symbolism,Answer with Constraints,Interpretive,"animal role, creature symbolism, allegorical animal",animal_symbolism,Answer with Constraints
211,Nature symbolism,Answer with Constraints,Interpretive,"forest symbolism, river meaning, natural metaphor",nature_symbolism,Answer with Constraints
212,Names and epithets,Answer,Textual reference,"name meaning, epithet significance, title context",names_epithets,Answer
213,Cultural idioms,Answer,Cultural context,"idiomatic phrase, cultural expression, traditional saying",cultural_idiom,Answer
214,Poetic devices,Answer,Literary analysis,"simile usage, meter role, poetic structure, stylistic device",poetic_device,Answer with Constraints
215,Allegorical elements,Answer with Constraints,Interpretive,"allegory reading, layered meaning, symbolic narrative",allegory,Answer with Constraints
216,Literal vs figurative language,Answer,Linguistic clarity,"literal meaning, figurative sense, language mode",literal_vs_figurative,Answer
217,Translation ambiguity,Answer with Constraints,Linguistic limits,"translation variance, meaning shift, translator choice",translation_ambiguity,Answer with Constraints
218,Cultural connotations,Answer,Cultural grounding,"implied meaning, cultural sense, social connotation",cultural_connotation,Answer
219,Semantic shifts,Answer,Linguistic history,"meaning change, word evolution, semantic drift",semantic_shift,Answer
220,Linguistic constraints,Answer,Language limits,"untranslatable terms, linguistic gap, language boundary",linguistic_constraint,Answer
221,Beginner-level explanation,Answer,Pedagogical,"simple explanation, basic overview, beginner learning",beginner_explanation,Answer
222,Intermediate-level explanation,Answer,Pedagogical,"mid-level detail, intermediate learning, concept expansion",intermediate_explanation,Answer
223,Advanced-level explanation,Answer,Pedagogical,"deep explanation, advanced learner, nuanced discussion",advanced_explanation,Answer
224,Child-friendly explanation,Answer,Pedagogical,"kid explanation, simplified language, child framing",child_explanation,Answer
225,Teen-friendly explanation,Answer,Pedagogical,"teen framing, age-appropriate explanation, adolescent",teen_explanation,Answer
226,Adult learner explanation,Answer,Pedagogical,"adult framing, mature explanation, general audience",adult_explanation,Answer
227,Teacher-oriented explanation,Answer,Pedagogical,"teaching support, educator framing, instructional view",teacher_explanation,Answer
228,Concept-by-story explanation,Answer,Pedagogical,"concept via narrative, story-based learning",concept_story,Answer
229,Story-by-concept explanation,Answer,Pedagogical,"narrative via concept, theme-driven explanation",story_concept,Answer
230,Simplified summaries,Answer,Pedagogical,"concise summary, simplified overview, short explanation",simplified_summary,Answer
231,Structured learning sequences,Answer,Pedagogical,"learning order, curriculum flow, progression design",learning_sequence,Answer
232,Educational framing,Answer,Pedagogical,"educational lens, teaching frame, didactic view",educational_framing,Answer
233,Value-neutral teaching,Answer,Trust principle,"neutral instruction, non-preachy teaching",value_neutral,Answer
234,Discussion facilitation,Answer,Pedagogical,"discussion prompts, guided talk, reflection support",discussion_facilitation,Answer
235,Guided reflection,Answer,Pedagogical,"reflective learning, guided thinking, contemplation",guided_reflection,Answer
236,Question-based learning,Answer,Pedagogical,"inquiry learning, question-driven teaching",inquiry_learning,Answer
237,Curriculum mapping,Answer,Pedagogical,"syllabus alignment, curriculum design, mapping content",curriculum_mapping,Answer
238,Learning progression,Answer,Pedagogical,"progression logic, concept scaffolding",learning_progression,Answer
239,Concept reinforcement,Answer,Pedagogical,"reinforce ideas, repetition logic, memory aid",concept_reinforcement,Answer
