user_query,expanded_query,classification,template,Expected_Depth,openai_final_answer,claude_final_answer,openai_retrieved_shlokas_count,openai_retrieved_shlokas_ids,claude_retrieved_shlokas_count,claude_retrieved_shlokas_ids
How many years was the exile?,"The exile of Lord Rama, Sita, and Lakshmana lasted for 14 years, as decreed by King Dasharatha in the Ayodhya Kanda of the Valmiki Ramayana.",Exile episodes,T1,Fact: 14 years.,"Rama was exiled to the forest for fourteen years. This period is explicitly mentioned in several instances across the text, including Ayodhya Kanda 12.22 where it states that Rama is to dwell in the forest for 'नव पञ्च च वर्षाणि' (fourteen years). The consistent reference is to fourteen years as highlighted in numerous verses.","According to the Ramayana, Rama was exiled to the forest for a period of fourteen years. This is evident from multiple citations, including:

[Ayodhya Kanda 12.22] - ""O lady how do you wish this righteous and illustrious Rama to dwell in the forest for fourteen years?""
[Ayodhya Kanda 11.26] - ""Consigned to the Dandaka forest for fourteen years, clad in bark and deer skin and wearing matted hair, Rama shall live like an ascetic.""
[Ayodhya Kanda 53.34] - ""Rama... permitted him to live in the forest for the entire period of fourteen years by observing the prescribed code of conduct.""
[Ayodhya Kanda 9.21] - ""If Rama is banished into the forest for fourteen years your son will be firmly established in the kingdom.""",30,"ayodhya-kanda-12-22, ayodhya-kanda-11-26, yuddha-kanda-122-22, ayodhya-kanda-53-34, ayodhya-kanda-9-21, ayodhya-kanda-23-22, ayodhya-kanda-9-31, ayodhya-kanda-112-24, ayodhya-kanda-75-4, ayodhya-kanda-18-37, ayodhya-kanda-112-23, ayodhya-kanda-9-20, ayodhya-kanda-72-50, kishkindha-kanda-56-15, ayodhya-kanda-27-23, kishkindha-kanda-56-16, ayodhya-kanda-24-17, ayodhya-kanda-52-29, ayodhya-kanda-9-30, ayodhya-kanda-72-42, ayodhya-kanda-48-28, ayodhya-kanda-62-18, ayodhya-kanda-116-26, ayodhya-kanda-110-17, ayodhya-kanda-44-18, ayodhya-kanda-86-13, ayodhya-kanda-26-19, ayodhya-kanda-73-12, ayodhya-kanda-9-32, ayodhya-kanda-21-4",30,"ayodhya-kanda-12-22, ayodhya-kanda-11-26, yuddha-kanda-122-22, ayodhya-kanda-53-34, ayodhya-kanda-9-21, ayodhya-kanda-23-22, ayodhya-kanda-9-31, ayodhya-kanda-75-4, ayodhya-kanda-24-17, ayodhya-kanda-112-24, ayodhya-kanda-9-20, ayodhya-kanda-72-50, ayodhya-kanda-18-37, ayodhya-kanda-112-23, ayodhya-kanda-9-30, ayodhya-kanda-116-26, ayodhya-kanda-62-18, ayodhya-kanda-72-42, ayodhya-kanda-73-12, ayodhya-kanda-9-32, kishkindha-kanda-56-15, ayodhya-kanda-52-29, ayodhya-kanda-48-28, kishkindha-kanda-56-16, ayodhya-kanda-72-36, ayodhya-kanda-27-23, ayodhya-kanda-58-7, ayodhya-kanda-86-13, ayodhya-kanda-94-27, ayodhya-kanda-110-17"
Who gave the divine bow and quivers to Rama in the forest?,The divine bow and quivers were given to Rama by the sage Vishwamitra during their journey in the forest. Vishwamitra sought Rama's help to protect his yajna (sacrificial ritual) from demons.,Character actions,T1,Fact: Sage Agastya.,"Rama was given the divine bow, quivers with inexhaustible arrows, and a sword by Sage Agastya. This gift originated from Indra, who entrusted them to Agastya for Rama. The text states, 'अगस्त्यवचनात् च एव as directed by sage Agastya... given by Indra,' confirming Rama received these items in the forest by Agastya's direction.","According to the citations, it was the sage Vishvamitra who gave Rama the divine bow and quivers. In Bala Kanda, it is stated that ""As directed by sage Agastya, Rama received with extreme delight a bow, a sword and quivers with inexhaustible arrows, given by Indra to Agastya (to be passed on to Rama)"" [Bala Kanda 1.42]. Later, when Rama went to Janaka's kingdom, Vishvamitra said ""Let the bow be shown to Rama"" [Bala Kanda 67.1], indicating that Vishvamitra was responsible for presenting the divine bow to Rama.",25,"bala-kanda-1-42, bala-kanda-31-13, bala-kanda-77-1, yuddha-kanda-75-37, ayodhya-kanda-118-48, ayodhya-kanda-118-47, bala-kanda-27-22, ayodhya-kanda-118-46, yuddha-kanda-67-161, aranya-kanda-24-33, aranya-kanda-12-36, yuddha-kanda-22-5, bala-kanda-75-21, bala-kanda-75-13, bala-kanda-67-1, bala-kanda-75-4, aranya-kanda-12-35, yuddha-kanda-108-8, ayodhya-kanda-31-29, bala-kanda-75-1, bala-kanda-67-6, yuddha-kanda-111-14, yuddha-kanda-75-36, yuddha-kanda-75-35, aranya-kanda-20-18",25,"bala-kanda-1-42, bala-kanda-31-13, bala-kanda-77-1, yuddha-kanda-75-37, ayodhya-kanda-118-48, ayodhya-kanda-118-47, bala-kanda-27-22, ayodhya-kanda-118-46, yuddha-kanda-67-161, aranya-kanda-24-33, aranya-kanda-12-36, yuddha-kanda-22-5, bala-kanda-75-21, bala-kanda-75-13, bala-kanda-67-1, bala-kanda-75-4, aranya-kanda-12-35, yuddha-kanda-108-8, ayodhya-kanda-31-29, bala-kanda-75-1, bala-kanda-67-6, yuddha-kanda-111-14, yuddha-kanda-75-36, yuddha-kanda-75-35, aranya-kanda-20-18"
Describe the debate between Sita and Rama regarding the carrying of weapons in the forest.,"In the Valmiki Ramayana, Sita and Rama engage in a debate about the necessity of carrying weapons during their forest exile. Sita expresses concern for their safety, while Rama emphasizes the importance of adhering to the principles of dharma and non-violence. This discussion highlights their differing perspectives on duty and protection.",Duty vs emotion,T2,Episode: Sita argues that carrying weapons naturally induces violence and they should live like ascetics; Rama insists it is his Kshatriya dharma to protect the sages.,The debate between Sita and Rama about carrying weapons in the forest highlights the tension between duty and affection.,"The text depicts a debate between Rama and Sita regarding the carrying of weapons during their time in the forest. Rama attempts to dissuade Sita from accompanying him, citing the hardships of forest life, while Sita insists on going with Rama.",20,"ayodhya-kanda-28-1, ayodhya-kanda-30-1, sundara-kanda-65-2, kishkindha-kanda-6-3, sundara-kanda-65-1, sundara-kanda-28-1, aranya-kanda-5-1, ayodhya-kanda-61-1, sundara-kanda-60-1, kishkindha-kanda-30-1, ayodhya-kanda-94-1, ayodhya-kanda-45-1, kishkindha-kanda-6-1, ayodhya-kanda-27-1, kishkindha-kanda-30-2, sundara-kanda-19-2, aranya-kanda-10-1, ayodhya-kanda-46-1, sundara-kanda-20-1, ayodhya-kanda-96-1",20,"ayodhya-kanda-28-1, ayodhya-kanda-30-1, kishkindha-kanda-6-3, sundara-kanda-28-1, sundara-kanda-65-2, sundara-kanda-65-1, kishkindha-kanda-30-1, ayodhya-kanda-61-1, aranya-kanda-5-1, kishkindha-kanda-6-1, ayodhya-kanda-45-1, kishkindha-kanda-30-2, ayodhya-kanda-94-1, sundara-kanda-60-1, sundara-kanda-19-2, ayodhya-kanda-46-1, ayodhya-kanda-27-1, kishkindha-kanda-30-3, sundara-kanda-20-1, ayodhya-kanda-29-1"
Did Ravana lift Sita with the earth or touch her?,"Ravana, the demon king of Lanka, abducted Sita by forcefully carrying her away in his flying chariot, not by lifting her with the earth or merely touching her. This act is a pivotal moment in the Ramayana.",Abduction episode,T1,Valmiki Fact: He touched her. He grabbed her by her hair and thighs and forced her onto his chariot (or flew with her).,"Ravana forcibly seized Sita and carried her away to Lanka. According to Aranya Kanda 49.17, Ravana took Sita by her hair and lifted her by the thighs. He then carried her across Pampa lake and towards Lanka as per Aranya Kanda 54.5. Ravana's act of abduction is a direct use of force, as detailed in Yuddha Kanda 13.4 and Aranya Kanda 54.11.","Ravana took Sita forcibly. According to Aranya Kanda 54.11, Ravana ""entered the city of Lanka holding Sita"". Furthermore, Aranya Kanda 49.17 mentions that Ravana seized with his left hand the lotus-eyed Sita by the hair and lifted her by the thighs with his right hand. There is no mention of Ravana lifting Sita with the earth; the text clearly describes Ravana physically touching and carrying Sita.",25,"yuddha-kanda-13-4, yuddha-kanda-60-73, yuddha-kanda-129-29, aranya-kanda-54-11, sundara-kanda-3-49, bala-kanda-1-81, bala-kanda-1-73, yuddha-kanda-11-3, sundara-kanda-2-17, aranya-kanda-49-17, yuddha-kanda-57-28, sundara-kanda-2-18, yuddha-kanda-91-8, aranya-kanda-54-5, sundara-kanda-2-14, sundara-kanda-2-15, aranya-kanda-32-14, sundara-kanda-22-46, yuddha-kanda-8-5, bala-kanda-3-36, sundara-kanda-2-16, sundara-kanda-1-1, sundara-kanda-1-154, kishkindha-kanda-45-11, yuddha-kanda-24-7",25,"yuddha-kanda-60-73, sundara-kanda-3-49, aranya-kanda-54-11, yuddha-kanda-13-4, bala-kanda-1-81, yuddha-kanda-129-29, bala-kanda-1-73, aranya-kanda-49-17, sundara-kanda-1-154, sundara-kanda-2-17, yuddha-kanda-95-11, bala-kanda-3-36, kishkindha-kanda-45-11, yuddha-kanda-8-5, sundara-kanda-22-46, yuddha-kanda-24-7, yuddha-kanda-57-28, kishkindha-kanda-35-16, aranya-kanda-54-5, sundara-kanda-2-18, yuddha-kanda-25-23, yuddha-kanda-47-10, yuddha-kanda-126-5, yuddha-kanda-84-10, yuddha-kanda-91-8"
Who disguised himself as the Golden Deer?,"The Golden Deer is a disguise taken by Maricha, a demon and ally of Ravana, to lure Sita away from Rama in the Valmiki Ramayana.",Character identity,T1,Fact: Maricha.,"The demon Maricha disguised himself as the golden deer. This transformation was a direct consequence of Ravana's directive for Maricha to transform into a wondrous golden deer with silver spots to captivate Sita at Rama's hermitage (Aranya Kanda 42.14, 40.18). Maricha, known for his deceit, assumed this form and successfully lured Rama away from the hermitage (Aranya Kanda 44.8, 57.23).","The demon Maricha disguised himself as the Golden Deer. On hearing Ravana's words, Maricha transformed into a magnificent deer with antlers studded with gems and a radiant appearance, creating a desire for it in Sita (Aranya Kanda 42.14-15). Maricha, as the deer, appeared at Rama's hermitage, moving about in front of Sita to allure her (Aranya Kanda 36.18, 42.23).",15,"aranya-kanda-42-14, aranya-kanda-40-18, aranya-kanda-44-7, aranya-kanda-36-18, yuddha-kanda-129-22, yuddha-kanda-129-21, yuddha-kanda-114-68, aranya-kanda-57-23, aranya-kanda-43-6, aranya-kanda-44-8, aranya-kanda-42-15, bala-kanda-1-52, aranya-kanda-43-4, aranya-kanda-44-17, aranya-kanda-40-19",15,"aranya-kanda-44-7, aranya-kanda-42-14, aranya-kanda-43-6, aranya-kanda-40-18, aranya-kanda-36-18, aranya-kanda-57-23, aranya-kanda-42-15, yuddha-kanda-129-22, aranya-kanda-44-8, yuddha-kanda-129-21, yuddha-kanda-114-68, aranya-kanda-36-19, aranya-kanda-49-19, aranya-kanda-43-4, aranya-kanda-42-23"
Was there a 'Lakshmana Rekha' (magical line) in the Valmiki Ramayana?,"Yes, the 'Lakshmana Rekha' is a magical protective line drawn by Lakshmana to safeguard Sita during Rama's absence. It prevents anyone from crossing it, emphasizing Sita's vulnerability and the significance of protection in the narrative.",Clarifying popular confusions,T1,Valmiki Fact: No. Lakshmana leaves Sita alone after her harsh words; there is no mention of a magical protective line in the Sanskrit text.,The text of the Valmiki Ramayana does not mention a 'Lakshmana Rekha' or magical line being drawn by Lakshmana. This concept is not found in the citations provided or in the primary textual basis of the Valmiki Ramayana.,"The text does not mention a ""Lakshmana Rekha"" or magical line in the Valmiki Ramayana. The citations describe the city of Lanka protected by Ravana, but do not indicate the presence of any such magical line or boundary. The text focuses on Hanuman's observations and actions in reaching Lanka, as well as Rama and Lakshmana's protection of the sage Viswamitra, but does not state anything about a ""Lakshmana Rekha"".",15,"sundara-kanda-2-17, sundara-kanda-2-14, sundara-kanda-2-15, sundara-kanda-2-18, kishkindha-kanda-1-127, sundara-kanda-27-36, yuddha-kanda-33-13, sundara-kanda-35-7, sundara-kanda-3-24, sundara-kanda-2-16, yuddha-kanda-33-11, bala-kanda-1-81, yuddha-kanda-33-12, sundara-kanda-13-63, bala-kanda-1-27",15,"sundara-kanda-2-17, sundara-kanda-2-14, sundara-kanda-2-15, sundara-kanda-2-18, sundara-kanda-27-36, sundara-kanda-3-24, sundara-kanda-2-16, kishkindha-kanda-1-127, aranya-kanda-14-35, aranya-kanda-14-33, aranya-kanda-1-14, yuddha-kanda-41-34, sundara-kanda-13-63, sundara-kanda-35-7, bala-kanda-30-6"
Who told the Vanaras that Sita was in Lanka?,Hanuman informed the Vanaras that Sita was in Lanka after discovering her during his journey to Ravana's kingdom.,Character identity,T1,"Fact: Sampati (the vulture king, brother of Jatayu).","Hanuman informed the Vanaras that Sita was in Lanka. He found Sita in the Ashoka garden, which is within the city of Lanka ruled by Ravana. Hanuman conveyed this information upon returning to Rama after completing his mission in Lanka, where he had seen Sita.","Hanuman was the one who informed the Vanaras that Sita was in Lanka. According to Sundara Kanda, Hanuman reached the city of Lanka, which was ruled by Ravana, and found Sita in the Ashoka garden (Bala Kanda 1.73). After finding her, he returned to deliver the good news to Rama (Bala Kanda 1.77).",15,"bala-kanda-1-73, sundara-kanda-2-17, sundara-kanda-2-18, sundara-kanda-2-55, sundara-kanda-2-14, yuddha-kanda-60-73, sundara-kanda-2-15, bala-kanda-1-77, bala-kanda-1-76, yuddha-kanda-48-35, sundara-kanda-6-1, yuddha-kanda-116-3, sundara-kanda-2-16, yuddha-kanda-116-4, yuddha-kanda-116-2",15,"bala-kanda-1-73, sundara-kanda-2-17, sundara-kanda-2-18, sundara-kanda-2-55, sundara-kanda-2-14, bala-kanda-1-77, yuddha-kanda-60-73, sundara-kanda-2-15, bala-kanda-1-76, yuddha-kanda-48-35, sundara-kanda-6-1, yuddha-kanda-116-3, sundara-kanda-2-16, sundara-kanda-3-2, yuddha-kanda-116-4"
Who is the mother of the serpents mentioned during the search?,"The mother of the serpents is Kadru, who is the daughter of Daksha and the wife of Sage Kashyapa. She is known for her role in the lineage of serpents (Nagas) in the Valmiki Ramayana.",Character identity,T1,Fact: Surasa (whom Hanuman outwitted).,"The mother of the serpents mentioned during the search is Kadru. Kadru is noted for producing the serpents (pannagas) as stated in Aranya Kanda 14.28: 'Surasa delivered cobras and Kadru, ordinary serpents.' Hence, Kadru is identified as the mother of the serpents.","The mother of the serpents mentioned during the search is Kadru. In Aranya Kanda 14.28, it is stated that Kadru procreated the Pannagas, who are ordinary serpents. Additionally, Yuddha Kanda 50.49 reaffirms that serpents known as Kadru's progeny are highly poisonous with sharp fangs.",15,"aranya-kanda-14-31, sundara-kanda-58-21, yuddha-kanda-50-49, kishkindha-kanda-41-37, kishkindha-kanda-41-38, yuddha-kanda-50-37, ayodhya-kanda-92-24, ayodhya-kanda-92-25, ayodhya-kanda-92-26, sundara-kanda-16-29, aranya-kanda-14-20, sundara-kanda-58-70, ayodhya-kanda-43-2, aranya-kanda-14-28, yuddha-kanda-44-36",15,"aranya-kanda-14-31, sundara-kanda-58-21, kishkindha-kanda-41-37, yuddha-kanda-50-49, kishkindha-kanda-41-38, ayodhya-kanda-92-24, ayodhya-kanda-92-25, ayodhya-kanda-92-26, yuddha-kanda-50-37, aranya-kanda-14-20, sundara-kanda-16-29, kishkindha-kanda-67-48, ayodhya-kanda-43-2, aranya-kanda-14-28, sundara-kanda-1-145"
Describe Hanuman's first reaction upon seeing Mandodari in Ravana's palace.,"Hanuman's first reaction upon seeing Mandodari, Ravana's wife, in the palace is one of respect and admiration. He recognizes her beauty and virtue, reflecting on her noble character despite her association with Ravana.",Character actions,T1,"Detail: He momentarily mistook her for Sita due to her radiance and beauty, but realized Sita would not be sleeping contentedly in Ravana's harem.","Upon entering Ravana's palace, Hanuman observed Mandodari, who was sleeping. He noticed her beauty and her golden complexion illumined the mansion with her radiance. Hanuman saw Mandodari adorned with ornaments of pearls and gems, making her appear as if she were embellishing the entire place. However, despite her beauty and the splendor of her surroundings, Hanuman did not mistake her for Sita, the beloved wife of Rama whom he sought.","Hanuman entered Ravana's palace, a grand place filled with wealth and beauty. Inside, he discovered Mandodari, the favorite queen, and chief wife of Ravana, asleep in the harem. She was adorned with pearls and gems, her golden complexion illuminating the palace like the moonlight, a sight that made Hanuman mistake her beauty for Sita's initially. Hanuman observed her from his concealed position, overwhelmed by the grandeur of Ravana's palace and Mandodari's resplendence. However, Mandodari did not match the appearance of Sita, whom Hanuman was resolutely seeking.",25,"sundara-kanda-12-20, sundara-kanda-10-51, sundara-kanda-10-52, sundara-kanda-10-31, sundara-kanda-35-87, sundara-kanda-58-75, sundara-kanda-14-52, sundara-kanda-4-29, sundara-kanda-16-6, yuddha-kanda-126-14, sundara-kanda-17-31, sundara-kanda-30-44, yuddha-kanda-116-50, sundara-kanda-31-19, sundara-kanda-9-7, sundara-kanda-11-2, ayodhya-kanda-4-10, sundara-kanda-5-21, sundara-kanda-11-3, sundara-kanda-18-15, sundara-kanda-9-6, ayodhya-kanda-3-27, yuddha-kanda-114-2, ayodhya-kanda-3-28, sundara-kanda-47-17",25,"sundara-kanda-12-20, sundara-kanda-10-51, sundara-kanda-10-52, sundara-kanda-10-31, sundara-kanda-35-87, sundara-kanda-58-75, sundara-kanda-14-52, sundara-kanda-4-29, sundara-kanda-16-6, yuddha-kanda-126-14, sundara-kanda-17-31, sundara-kanda-30-44, yuddha-kanda-116-50, sundara-kanda-31-19, sundara-kanda-9-7, sundara-kanda-11-2, ayodhya-kanda-4-10, sundara-kanda-5-21, sundara-kanda-11-3, sundara-kanda-18-15, sundara-kanda-9-6, ayodhya-kanda-3-27, yuddha-kanda-114-2, ayodhya-kanda-3-28, sundara-kanda-47-17"
Who revived the Vanara army when they were unconscious?,"Hanuman revived the unconscious Vanara army using the medicinal herb Sanjivani, which he brought from the Himalayas. This event occurs during the battle against Ravana in the Yuddha Kanda.",Character actions,T1,Fact: Hanuman (by bringing the Sanjeevani mountain).,"The Vanara army was revived by the spiritual herbs retrieved by Hanuman. When Hanuman brought these herbs, the fragrance restored the Vanaras to life and healed their wounds. Notably, the two princes, Rama and Lakshmana, also regained consciousness upon inhaling the scent. This revival was immediate and occurred as if they woke up from sleep.","Hanuman revived the Vanara army when they were unconscious. By inhaling the fragrance of the great herbs, the fallen Vanara heroes, as well as the two sons of the ruler of men, were restored and got up free from wounds (Yuddha Kanda 74.73-74). The herbs were from the mountain Jambavan had instructed Hanuman to visit (Yuddha Kanda 102.23-24).",25,"yuddha-kanda-74-73, yuddha-kanda-74-74, yuddha-kanda-123-17, yuddha-kanda-102-23, yuddha-kanda-102-25, yuddha-kanda-74-13, yuddha-kanda-38-13, yuddha-kanda-74-34, yuddha-kanda-102-24, yuddha-kanda-59-118, yuddha-kanda-38-12, yuddha-kanda-81-25, yuddha-kanda-85-21, yuddha-kanda-37-3, yuddha-kanda-85-22, yuddha-kanda-69-67, yuddha-kanda-38-11, yuddha-kanda-92-3, yuddha-kanda-38-10, yuddha-kanda-82-8, yuddha-kanda-25-9, yuddha-kanda-50-11, yuddha-kanda-83-5, yuddha-kanda-85-31, yuddha-kanda-67-68",25,"yuddha-kanda-74-73, yuddha-kanda-102-23, yuddha-kanda-102-25, yuddha-kanda-102-24, yuddha-kanda-74-34, yuddha-kanda-74-74, yuddha-kanda-38-13, yuddha-kanda-59-118, yuddha-kanda-38-12, yuddha-kanda-74-13, yuddha-kanda-123-17, sundara-kanda-57-33, yuddha-kanda-50-30, sundara-kanda-47-31, yuddha-kanda-81-25, yuddha-kanda-69-67, yuddha-kanda-38-11, sundara-kanda-61-6, yuddha-kanda-38-10, yuddha-kanda-37-3, yuddha-kanda-29-5, yuddha-kanda-85-21, sundara-kanda-10-15, sundara-kanda-10-17, yuddha-kanda-67-65"
What specific ritual was Indrajit performing that Lakshmana interrupted?,"Indrajit, also known as Meghanada, was performing a powerful yajna (sacrificial ritual) to gain invincibility in battle. Lakshmana interrupted this ritual during the Yuddha Kanda, aiming to thwart Indrajit's plans.",War & battle episodes,T1,Detail: The Nikumbhila Yajna (which would have made him invincible).,"Indrajit was performing a ritual involving uttering Rakshasa-specific ritualistic verses and making offerings into the fire. This ritual allowed him to become invisible and display his sorcery. Lakshmana interrupted this ritual, which was crucial for Indrajit's ability to fight effectively by becoming unseen.",Indrajit was performing a ritual involving the pouring of an oblation of blood into the sacrificial fire at Nikumbhilam. This ritual was interrupted by Lakshmana. The fire blazed as Indrajit attempted to offer the oblation to Devatas.,35,"yuddha-kanda-90-27, yuddha-kanda-91-73, yuddha-kanda-73-36, yuddha-kanda-91-72, yuddha-kanda-91-12, yuddha-kanda-80-24, yuddha-kanda-81-4, yuddha-kanda-73-69, yuddha-kanda-91-74, sundara-kanda-48-37, yuddha-kanda-91-37, yuddha-kanda-91-18, yuddha-kanda-19-13, yuddha-kanda-80-16, yuddha-kanda-87-8, yuddha-kanda-73-9, yuddha-kanda-90-33, yuddha-kanda-92-5, yuddha-kanda-73-20, yuddha-kanda-85-34, yuddha-kanda-88-32, yuddha-kanda-91-59, yuddha-kanda-91-48, yuddha-kanda-88-33, yuddha-kanda-91-34, yuddha-kanda-82-16, yuddha-kanda-91-27, yuddha-kanda-7-21, yuddha-kanda-90-44, yuddha-kanda-91-33, yuddha-kanda-81-33, yuddha-kanda-89-6, yuddha-kanda-43-6, yuddha-kanda-45-11, yuddha-kanda-46-20",35,"yuddha-kanda-90-27, yuddha-kanda-91-18, yuddha-kanda-91-73, yuddha-kanda-91-37, yuddha-kanda-90-33, yuddha-kanda-91-74, yuddha-kanda-91-12, yuddha-kanda-91-72, yuddha-kanda-88-32, yuddha-kanda-80-24, yuddha-kanda-81-4, yuddha-kanda-19-13, yuddha-kanda-91-27, yuddha-kanda-73-36, yuddha-kanda-45-8, yuddha-kanda-92-5, yuddha-kanda-73-69, yuddha-kanda-73-34, yuddha-kanda-90-44, yuddha-kanda-85-34, yuddha-kanda-82-25, yuddha-kanda-80-16, yuddha-kanda-82-26, yuddha-kanda-91-23, yuddha-kanda-82-16, yuddha-kanda-91-59, yuddha-kanda-91-34, yuddha-kanda-91-13, yuddha-kanda-91-58, yuddha-kanda-88-33, yuddha-kanda-87-8, yuddha-kanda-91-65, yuddha-kanda-83-29, yuddha-kanda-91-33, yuddha-kanda-46-45"
Did Rama worship Durga/Kali before the battle in Valmiki Ramayana?,"Rama did not specifically worship Durga or Kali before the battle in the Valmiki Ramayana. Instead, he prayed to Lord Shiva and performed rituals to seek blessings for victory against Ravana.",Clarifying popular confusions,T1,Valmiki Fact: No. He worshipped the Sun God (Aditya Hridayam) as advised by Agastya. The Durga Puja narrative is from later Bengali traditions (Krittivasi).,"The text does not state that Rama worshipped Durga or Kali before the battle with Ravana. The citations provided focus on Rama's actions in various battles, his journey, and interactions with other characters, but there is no mention of worshipping Durga or Kali.",The text does not state that Rama worshiped Durga or Kali before the battle. There is no mention of such worship in the provided citations from Valmiki's Ramayana.,15,"bala-kanda-1-24, bala-kanda-1-34, yuddha-kanda-103-4, bala-kanda-2-25, bala-kanda-1-86, kishkindha-kanda-11-68, yuddha-kanda-59-127, yuddha-kanda-100-23, bala-kanda-27-26, bala-kanda-37-14, yuddha-kanda-41-25, bala-kanda-30-23, yuddha-kanda-100-32, kishkindha-kanda-40-1, yuddha-kanda-103-38",15,"bala-kanda-1-24, bala-kanda-1-34, yuddha-kanda-103-4, bala-kanda-2-25, bala-kanda-1-86, kishkindha-kanda-11-68, yuddha-kanda-59-127, yuddha-kanda-100-23, bala-kanda-27-26, bala-kanda-37-14, yuddha-kanda-41-25, yuddha-kanda-100-32, bala-kanda-30-23, kishkindha-kanda-40-1, yuddha-kanda-103-38"
Who ruled Ayodhya while Rama was away?,"During Rama's exile, his brother Bharata ruled Ayodhya as a regent. Bharata, the son of King Dasharatha, upheld Rama's honor by placing Rama's sandals on the throne, symbolizing Rama's rightful kingship.",Character role in story,T1,Fact: Bharata (as a regent).,"Bharata ruled Ayodhya in the absence of Rama by placing Rama’s sandals as a symbol of authority on the throne. Bharata himself lived in Nandigrama, eagerly awaiting Rama’s return. The rule was conducted with the sandals serving as a proxy for Rama's authority. Bharata, despite being in charge, subordinated himself to Rama’s sandals and acted in accordance with Rama's wishes.","According to the texts, Bharata ruled Ayodhya while Rama was away. Bharata had been sent away by his mother Kaikeyi, but when Rama left for the forest, Bharata returned and was given Rama's sandals as a symbol of authority to rule the kingdom. Bharata lived in Nandigrama and ruled Ayodhya, awaiting Rama's return, and did not take the throne for himself.",20,"ayodhya-kanda-112-23, ayodhya-kanda-112-24, ayodhya-kanda-115-26, ayodhya-kanda-112-29, bala-kanda-1-37, ayodhya-kanda-115-24, ayodhya-kanda-112-22, ayodhya-kanda-9-33, ayodhya-kanda-20-30, ayodhya-kanda-25-43, ayodhya-kanda-113-1, ayodhya-kanda-18-38, ayodhya-kanda-52-91, bala-kanda-1-38, ayodhya-kanda-18-36, ayodhya-kanda-8-19, ayodhya-kanda-113-13, ayodhya-kanda-115-22, ayodhya-kanda-11-24, ayodhya-kanda-8-27",20,"ayodhya-kanda-115-26, ayodhya-kanda-115-24, ayodhya-kanda-112-23, ayodhya-kanda-112-24, ayodhya-kanda-112-29, bala-kanda-1-37, ayodhya-kanda-112-22, ayodhya-kanda-113-13, ayodhya-kanda-113-1, yuddha-kanda-130-52, ayodhya-kanda-115-12, bala-kanda-1-38, ayodhya-kanda-8-22, ayodhya-kanda-18-38, ayodhya-kanda-11-24, ayodhya-kanda-115-17, ayodhya-kanda-18-36, ayodhya-kanda-115-25, ayodhya-kanda-115-14, ayodhya-kanda-115-3"
What is the 'Pushpaka Vimana'?,"The 'Pushpaka Vimana' is a celestial flying chariot belonging to Ravana, the demon king of Lanka. It is described in the Valmiki Ramayana as capable of traveling anywhere at great speed and is used to abduct Sita.",Character identity,T1,"Fact: The aerial chariot taken by Ravana from Kubera, used by Rama to return home.","The 'Pushpaka Vimana' is an aerial vehicle originally owned by Kubera, which was taken by Ravana from him after a conquest (Aranya Kanda 32.14). Described as a wonderful car, it goes according to the will of the riders and resembles the sun in brilliance (Yuddha Kanda 124.9). It was often used by Ravana for travel, such as when he swiftly ascended it with Sita (Vaidehi) to enter Lanka (Yuddha Kanda 129.29). After Ravana's defeat, the Pushpaka was returned to Kubera by Rama's command (Yuddha Kanda 130.61).","The Pushpaka Vimana is an aerial chariot of divine origin which can travel at the rider’s will. It was originally owned by Kubera but was taken by Ravana after defeating him in combat (Yuddha Kanda 124.9). It is described as resembling the sun and moving with the speed of the mind (Yuddha Kanda 129.29). Adorned with golden decorations and gems, it was constructed by Viswakarma and shines radiantly like the rising sun (Yuddha Kanda 130.30). Eventually, the Vimana was used by Rama and returned to Kubera as per Rama's instruction (Yuddha Kanda 130.61).",15,"yuddha-kanda-129-29, aranya-kanda-32-14, yuddha-kanda-124-9, sundara-kanda-7-11, yuddha-kanda-130-61, yuddha-kanda-124-10, yuddha-kanda-130-30, yuddha-kanda-130-37, yuddha-kanda-91-8, yuddha-kanda-11-3, yuddha-kanda-126-1, yuddha-kanda-130-59, sundara-kanda-8-6, yuddha-kanda-124-23, bala-kanda-3-36",15,"yuddha-kanda-130-61, yuddha-kanda-124-9, aranya-kanda-32-14, sundara-kanda-7-11, yuddha-kanda-124-10, yuddha-kanda-125-25, yuddha-kanda-129-29, sundara-kanda-8-6, yuddha-kanda-124-23, yuddha-kanda-130-30, yuddha-kanda-126-1, yuddha-kanda-130-37, yuddha-kanda-130-59, yuddha-kanda-11-3, yuddha-kanda-48-25"
