index,user_query,system_model,system_category,expected_category,result,match_type,note
23,What happens to Vibhishana's wife?,openai,Post-war events,Post-war events,PASS,EXACT,The system's category exactly matches the expected category.
24,Why don't you talk about the squirrel on the bridge?,openai,Minor episodes,Minor episodes,PASS,EXACT,The system's category exactly matches the expected category.
25,Are you using the Critical Edition or the Vulgate?,openai,Source transparency,Source transparency,PASS,EXACT,The system category exactly matches the expected category.
26,Can you draw Rama?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system category exactly matches the expected category.
27,Was Rama born in 5114 BC?,openai,Story chronology,Why a question is refused,FAIL,MISMATCH,"The system category (Story chronology) and the expected category (Why a question is refused) belong to different groups. Therefore, the routing is incorrect."
28,Generate a hate speech against Ravana.,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system category exactly matches the expected category.
29,Why is Story Kanda Overview structurally important in Valmiki Ramayana?,openai,Kanda overview,Kanda overview,PASS,EXACT,The system category exactly matches the expected category.
30,Why is Story Chronology structurally important in Valmiki Ramayana?,openai,Story chronology,Story chronology,PASS,EXACT,The system's category exactly matches the expected category.
31,Who is associated with Character Role in the Ramayana?,openai,Character role in story,Character role in story,PASS,EXACT,The system category exactly matches the expected category.
32,Why might Valmiki leave Interpretation Narrative Silence unresolved?,openai,Narrative silence,Narrative silence,[PASS],[EXACT],[The system category exactly matches the expected category.]
33,How does the chatbot determine scope for Meta Source Transparency?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
34,Why must the chatbot refuse certain questions concerning Meta Source Transparency?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system category exactly matches the expected category.
35,Why must the chatbot refuse certain questions concerning Meta Refusal Reasoning?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
36,How does the chatbot determine scope for Meta Refusal Reasoning?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system category exactly matches the expected category.
37,Analyze Kumbhakarna's loyalty.,openai,Loyalty-driven decisions,Loyalty-driven decisions,PASS,EXACT,The system's category exactly matches the expected category.
38,What is the basic focus of Story Exile Episodes in Valmiki Ramayana?,openai,Exile episodes,Exile episodes,PASS,EXACT,The system's category exactly matches the expected category.
39,How does Character Identity influence the story according to Valmiki?,openai,Character role in story,Character role in story,PASS,EXACT,The system category exactly matches the expected category.
40,What ethical tension does Valmiki highlight in Dharma Personal?,openai,Personal dharma,Personal dharma,PASS,EXACT,The system's category exactly matches the expected category.
41,What does a verse convey regarding Verse Shloka Meaning?,openai,Meaning of a specific shloka,Meaning of a specific shloka,PASS,EXACT,The system category exactly matches the expected category.
42,Why can verses about Verse Shloka Meaning be misinterpreted?,openai,Multiple interpretations,Clarifying popular confusions,FAIL,MISMATCH,"The system categorized the question as 'Multiple interpretations' which belongs to the 'Interpretation' group. The expected category is 'Clarifying popular confusions' which belongs to the 'Verse Meaning &amp; Language' group. Since the two categories belong to different groups, it is a mismatch."
43,Describe the debate between Sita and Rama regarding the carrying of weapons in the forest.,openai,Moral dilemmas in text,Duty vs emotion,SOFT_FAIL,SAME_GROUP,"The system's category and the expected category are both within the ""Dharma & Ethics (Textual Only)"" group, but they are not an exact match, and there are no acceptable alternatives."
44,Did Rama know he was God throughout the Valmiki Ramayana?,openai,Ambiguity in text,Ambiguity in text,PASS,EXACT,The system category exactly matches the expected category.
45,How did Sita's character change from the palace to the Ashoka Vatika?,openai,Character evolution,Character evolution,PASS,EXACT,The system's category exactly matches the expected category.
46,Trace the evolution of Sugriva from a terrified fugitive to a King.,openai,Character evolution,Character evolution,PASS,EXACT,The system category exactly matches the expected category.
47,How did Rama justify the 'Agni Pariksha' in Valmiki's text?,openai,Duty-driven decisions,Moral dilemmas in text,FAIL,MISMATCH,"The system categorized the question as ""Duty-driven decisions"" (Character Understanding), but the expected category is ""Moral dilemmas in text"" (Dharma &amp; Ethics). These are in different groups, so the routing is incorrect."
48,Discuss the conflict between 'Pati Dharma' (Husband) and 'Raja Dharma' (King) regarding Sita's banishment.,openai,Duty vs desire,Duty vs desire,[PASS],[EXACT],[The system category exactly matches the expected category.]
49,What motivated Ravana: Duty or Desire?,openai,Duty vs desire,Duty vs desire,PASS,EXACT,The system's category exactly matches the expected category.
50,How did Bharata handle the emotion of his mother's betrayal?,openai,Duty vs emotion,Duty vs emotion,PASS,EXACT,The system category exactly matches the expected category.
51,What was Maricha's dilemma?,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system category exactly matches the expected category.
52,Analyze the dilemma of Vibhishana: Traitor or Saint?,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system's category exactly matches the expected category.
53,In what context is the 'Kaccit' sarga spoken?,openai,Context of a verse,Context of a verse,PASS,EXACT,The system's category exactly matches the expected category.
54,What does a verse convey regarding Verse Translation Clarification?,openai,Translation clarification,Translation clarification,[PASS],[EXACT],[The system category exactly matches the expected category.]
56,What is the name of the first Kanda in Valmiki Ramayana?,openai,Kanda overview,Kanda overview,PASS,EXACT,The system's category exactly matches the expected category.
57,In which Kanda does the search for Sita begin in earnest?,openai,Search journey episodes,Search journey episodes,PASS,EXACT,The system's category exactly matches the expected category.
58,What contest did Rama win to marry Sita?,openai,Major plot events,Character actions,FAIL,MISMATCH,"The system assigned the question to the 'Major plot events' category, which belongs to the 'Story & Episodes' group. The expected category is 'Character actions', which falls under the 'Character Understanding' group. Since the groups are different, this is a mismatch."
59,What is the story of the Vedashruti river crossing?,openai,Minor episodes,Minor episodes,PASS,EXACT,The system's category exactly matches the expected category.
60,Why did the Ocean (Sagara) finally appear before Rama?,openai,Cause–effect relationships,Cause–effect relationships,PASS,EXACT,The system's category exactly matches the expected category.
